open_time,open_price,high_price,low_price,close_price,volume,turnover
1713828600000,66970.1,66992.9,66796.7,66796.7,477.394,31928506.4327
1713828900000,66796.7,66859.2,66754,66826.1,435.339,29077723.4479
1713829200000,66826.1,66895.2,66770.9,66794.1,194.967,13031022.9429
1713829500000,66794.1,66846.1,66763.2,66785.9,139.519,9318981.6823
1713829800000,66785.9,66819.5,66760.5,66763.9,83.827,5598371.9218
1713830100000,66763.9,66785,66737.6,66770.3,150.64,10056619.1676
1713830400000,66770.3,66805.8,66700,66707.7,188.281,12565775.6018
1713830700000,66707.7,66784.6,66700.7,66763.6,297.652,19862941.1496
1713831000000,66763.6,66830.4,66758.1,66768.3,230.552,15401941.597
1713831300000,66768.3,66820,66700.6,66700.8,110.535,7378377.2839
1713831600000,66700.8,66807.9,66700.7,66718.1,242.116,16158211.6879
1713831900000,66718.1,66719.7,66658.1,66717.5,258.56,17243545.9053
1713832200000,66717.5,66848,66710.1,66834,287.634,19213697.4939
1713832500000,66834,66919.7,66834,66874.6,161.661,10811496.3664
1713832800000,66874.6,66897.6,66816.5,66818,98.854,6609093.8917
1713833100000,66818,66855.5,66772.9,66790.7,80.001,5344983.4354
1713833400000,66790.7,66995.6,66790.6,66969.8,265.422,17761493.8853
1713833700000,66969.8,66984,66892.3,66983.9,155.352,10400640.9403
1713834000000,66983.9,67128.9,66964.7,67091.2,587.187,39378279.6614
1713834300000,67091.2,67096,66918.8,66990,356.386,23883767.4032
1713834600000,66990,67145.7,66986.6,67106.8,359.687,24128599.9104
1713834900000,67106.8,67106.9,66962,66969.9,178.484,11962348.7135
1713835200000,66969.9,67020,66855.3,66890.1,339.16,22698364.2134
1713835500000,66890.1,66957.7,66861.9,66936,174.306,11662831.6221
1713835800000,66936,66970,66880.4,66969.9,189.514,12683917.829
1713836100000,66969.9,67018,66895.2,66925.9,83.34,5581028.1238
1713836400000,66925.9,66970,66893.2,66899.3,146.375,9797925.9956
1713836700000,66899.3,66907.5,66803.3,66833.7,177.926,11891246.0567
1713837000000,66833.7,66849,66766,66770.7,169.735,11339464.6426
1713837300000,66770.7,66796,66728.7,66738.5,144.976,9678321.8499
1713837600000,66738.5,66849.7,66734,66781.6,179.099,11964737.9647
1713837900000,66781.6,66841.4,66753,66810,127.518,8518478.4023
1713838200000,66810,66875.3,66801.6,66834.2,105.522,7053472.6658
1713838500000,66834.2,66839.8,66770.2,66819.3,92.257,6163161.8233
1713838800000,66819.3,66819.3,66754.1,66757.1,69.73,4656503.2442
1713839100000,66757.1,66811.1,66756.5,66795.8,70.608,4715915.6548
1713839400000,66795.8,66795.8,66750.6,66773.4,94.04,6279176.1472
1713839700000,66773.4,66813.2,66760,66785,65.854,4397822.9811
1713840000000,66785,66785,66760,66763.6,46.325,3092980.3253
1713840300000,66763.6,66810,66687.9,66727.8,152.758,10194860.4208
1713840600000,66727.8,66728.2,66601.1,66632.3,263.277,17550182.729
1713840900000,66632.3,66681.2,66510,66578.9,529.11,35221626.2852
1713841200000,66578.9,66705.8,66542.8,66703.8,213.512,14228110.0383
1713841500000,66703.8,66703.8,66653.3,66670,97.578,6506234.6285
1713841800000,66670,66714.6,66670,66699.7,119.269,7955012.6715
1713842100000,66699.7,66722,66698.1,66719.9,54.541,3638707.8346
1713842400000,66719.9,66724.1,66615.8,66634,133.672,8911448.806
1713842700000,66634,66688.2,66618.8,66686.6,71.553,4769336.4715
1713843000000,66686.6,66686.7,66468.2,66590.1,479.214,31887174.154
1713843300000,66590.1,66599,66458,66508.6,279.268,18573113.97
1713843600000,66508.6,66543.8,66483.7,66534.2,59.939,3987273.3991
1713843900000,66534.2,66534.2,66402,66499.5,233.931,15550081.0367
1713844200000,66499.5,66499.5,66426.1,66483.2,136.085,9045070.8971
1713844500000,66483.2,66485.7,66365.7,66398.4,225.966,15006931.9142
1713844800000,66398.4,66486.6,66360,66486.6,248.324,16495748.0154
1713845100000,66486.6,66499.5,66440,66490,105.234,6995272.5272
1713845400000,66490,66520,66474.6,66500.3,134.427,8939937.2923
1713845700000,66500.3,66540.3,66414.4,66430.9,262.978,17485605.6971
1713846000000,66430.9,66444.4,66350.3,66403.9,250.064,16602636.1988
1713846300000,66403.9,66417.3,66263.5,66289.2,293.615,19476761.1786
1713846600000,66289.2,66362,66141,66348.5,975.765,64640274.0359
1713846900000,66348.5,66417.9,66316,66416.7,167.729,11131959.5601
1713847200000,66416.7,66416.8,66349.1,66353.1,140.212,9306558.4181
1713847500000,66353.1,66353.1,66228.9,66250,260.56,17268198.4614
1713847800000,66250,66285.5,66115,66218.1,405.45,26837233.1126
1713848100000,66218.1,66229.6,66154,66208.9,280.411,18561766.0491
1713848400000,66208.9,66328.9,66180.6,66323.6,217.999,14447486.5051
1713848700000,66323.6,66336.2,66236.5,66293.9,337.449,22369261.4016
1713849000000,66293.9,66293.9,66201.3,66266.5,130.446,8641422.4802
1713849300000,66266.5,66273.4,66164.4,66176.4,232.749,15406544.7695
1713849600000,66176.4,66257.2,66158.7,66221.7,119.998,7944587.0089
1713849900000,66221.7,66320.1,66221.7,66320.1,108.277,7177927.2632
1713850200000,66320.1,66524,66320,66458.3,506.098,33623502.3622
1713850500000,66458.3,66570.6,66420.8,66570.1,374.207,24885527.9004
1713850800000,66570.1,66570.6,66442.4,66471.9,204.286,13585628.7709
1713851100000,66471.9,66513.7,66434.5,66438.8,156.61,10410029.261
1713851400000,66438.8,66475.6,66423.9,66475,90.462,6011497.2422
1713851700000,66475,66499.3,66427.3,66457.2,116.114,7717677.6351
1713852000000,66457.2,66576.3,66442,66560.2,187.551,12476771.4176
1713852300000,66560.2,66577.3,66491.3,66550.3,161.596,10752357.7119
1713852600000,66550.3,66550.4,66490.4,66517.4,83.821,5575640.6674
1713852900000,66517.4,66518,66464.8,66517.9,59.552,3959590.3371
1713853200000,66517.9,66548.7,66477,66536.8,105.301,7004049.5256
1713853500000,66536.8,66620,66514.4,66571.3,249.05,16581599.248
1713853800000,66571.3,66609.5,66414.2,66454.7,280.917,18677397.2072
1713854100000,66454.7,66540,66453.4,66483.3,127.376,8471033.5828
1713854400000,66483.3,66534,66460.2,66498.7,80.059,5324210.7681
1713854700000,66498.7,66515.9,66444,66447.6,76.005,5052573.1346
1713855000000,66447.6,66465.8,66290.1,66322.1,273.056,18119644.1225
1713855300000,66322.1,66346.5,66261,66346.5,298.184,19771791.332
1713855600000,66346.5,66429.5,66318,66378.3,162.255,10769706.3584
1713855900000,66378.3,66419.4,66352.4,66374.3,89.768,5959284.753
1713856200000,66374.3,66374.3,66252.9,66260.3,155.734,10325309.7285
1713856500000,66260.3,66342,66224.1,66284.4,187.974,12460458.1764
1713856800000,66284.4,66334,66284.3,66298,73.941,4903090.2502
1713857100000,66298,66345.2,66242.7,66287.7,102.942,6825432.3719
1713857400000,66287.7,66341,66166.1,66186,852.698,56458876.238
1713857700000,66186,66214.2,65935.8,66095.7,1349.943,89183853.7856
1713858000000,66095.7,66141.2,66055.8,66141.2,195.813,12944581.1634
1713858300000,66141.2,66200,66110,66199.9,269.421,17821532.6481
1713858600000,66199.9,66199.9,66109.9,66109.9,282.875,18711802.4583
1713858900000,66109.9,66121.5,66021.8,66065.3,263.584,17413305.6166
1713859200000,66065.3,66158.9,66065.3,66111.9,299.646,19810419.2405
1713859500000,66111.9,66143.1,66035,66035,159.453,10539851.8898
1713859800000,66035,66035.1,65915,65951.9,504.68,33289538.695
1713860100000,65951.9,66085.6,65950,66053,491.617,32455010.4956
1713860400000,66053,66120.1,66016.6,66096.8,285.742,18882567.4361
1713860700000,66096.8,66159.8,66068,66111.7,203.711,13468591.5285
1713861000000,66111.7,66118.4,66024.3,66036.9,105.777,6987032.933
1713861300000,66036.9,66077,66016.6,66072.2,112.524,7431523.1278
1713861600000,66072.2,66124.6,66052.7,66119.7,167.252,11053982.0232
1713861900000,66119.7,66151.1,66110,66123.6,166.484,11009090.8939
1713862200000,66123.6,66148,66071.9,66071.9,100.176,6623556.9025
1713862500000,66071.9,66226.3,66065,66182.1,246.245,16294641.8273
1713862800000,66182.1,66277.3,66182,66201.2,309.197,20480264.4709
1713863100000,66201.2,66256.4,66171.4,66189.9,411.652,27255065.3972
1713863400000,66189.9,66267,66155.3,66254.1,203.69,13486330.4674
1713863700000,66254.1,66254.1,66181,66204.3,120.103,7952209.7969
1713864000000,66204.3,66208.9,66116.5,66151,114.083,7546666.307
1713864300000,66151,66208,66141,66183.1,75.313,4983194.6361
1713864600000,66183.1,66223.4,66131.1,66139.9,76.732,5078587.5959
1713864900000,66139.9,66162,66074.1,66084.3,109.356,7228914.2806
1713865200000,66084.3,66133.2,66078.8,66113.4,49.995,3304973.9478
1713865500000,66113.4,66139.9,66078.8,66084,59.571,3937683.2209
1713865800000,66084,66084,66020.6,66033.4,201.74,13325066.2457
1713866100000,66033.4,66070.3,66015.8,66043.3,109.466,7228708.756
1713866400000,66043.3,66164,66043.3,66131.2,183.21,12113345.0853
1713866700000,66131.2,66143.7,66072,66101.8,71.044,4697098.3686
1713867000000,66101.8,66122.7,66077.6,66083,42.902,2835692.2569
1713867300000,66083,66098.3,66033.5,66081.5,98.869,6531169.4623
1713867600000,66081.5,66182,66066,66143.7,124.192,8213212.5772
1713867900000,66143.7,66181.9,66081.1,66085.5,86.274,5705846.8385
1713868200000,66085.5,66225,66085.4,66224.9,154.392,10216315.0465
1713868500000,66224.9,66300,66194.3,66252.3,321.331,21288661.566
1713868800000,66252.3,66282.9,66217,66245,191.83,12707799.003
1713869100000,66245,66272,66202.5,66202.6,102.75,6806132.5734
1713869400000,66202.6,66245.3,66183.2,66239,117.196,7759968.3785
1713869700000,66239,66255.5,66160,66189,161.806,10714335.879
1713870000000,66189,66216.8,66087.8,66129.9,199.406,13186834.2283
